fecha,real,modelo_random_forest,modelo_arbol,modelo_extra_trees,modelo_hist_gradient_boosting,modelo_holt_winters,modelo_ridge,modelo_regresion_lineal,ultimo_valor,estacional_7,media_movil_7,limite_inferior,limite_superior
2026-07-01,2741926.19,2739979.0527342414,2726553.603333333,2737776.729157956,2746304.074178507,2742289.6197121795,2763636.449994376,2760592.6757452614,2740005.27,2788523.73,2673081.858571429,2611390.666333333,2841716.540333333
2026-07-02,2754201.4,2737565.257726307,2709922.1280000005,2731431.7674011593,2755673.70458491,2727343.0367125142,2756313.9693541494,2756663.498291233,2740005.27,2789830.6,2656590.162653061,2594759.1910000006,2825085.0650000004
2026-07-03,2775456.05,2734622.5633006506,2709922.1280000005,2730424.127770951,2753299.8326036325,2731637.034088561,2733333.8888681396,2764329.4482949506,2740005.27,2747065.68,2637555.8144606417,2594759.1910000006,2825085.0650000004
2026-07-04,2580824.13,2639213.4738363074,2572890.9133333336,2615745.7414856143,2657479.4526118524,2631707.278285777,2609725.373434409,2613877.431828526,2740005.27,2693447.65,2621911.5479550185,2457727.9763333336,2688053.8503333335
2026-07-05,2454123.25,2439474.341889781,2425101.445454546,2429673.6481757914,2459415.6091787913,2423208.3995690765,2473317.4971919777,2465451.7055515577,2740005.27,2454842.48,2611692.1048057354,2309938.508454546,2540264.3824545457
2026-07-06,2756933.28,2661104.734072527,2652941.50875,2684559.204784223,2639416.644142269,2650220.22909586,2606625.8142420966,2628964.1755758673,2740005.27,2497857.6,2634099.1940636975,2537778.57175,2768104.44575
2026-07-07,2783371.32,2701843.2209441834,2697316.2132500005,2717240.1994694523,2698037.470056063,2722639.7487602006,2723483.53526479,2733862.300147946,2740005.27,2740005.27,2653562.2789299404,2582153.2762500006,2812479.1502500004
2026-07-08,2795500.8,2718998.1226514573,2709922.1280000005,2730352.136337598,2718640.2154978705,2742289.6197126843,2751849.7914232467,2747112.483609877,2740005.27,2788523.73,2641213.280205646,2594759.1910000006,2825085.0650000004
2026-07-09,2760835.08,2722658.58464008,2725563.602,2733821.649940688,2722042.2054399233,2727343.0367129967,2755229.1265183915,2752788.1370580574,2740005.27,2789830.6,2636660.6261533913,2610400.665,2840726.539
2026-07-10,2722501.82,2725877.9882680606,2725563.602,2734946.3475296083,2712939.3038728344,2731637.034089022,2746709.9299525837,2781437.1564704897,2740005.27,2747065.68,2633813.549510582,2610400.665,2840726.539
2026-07-11,2642065.09,2607416.0707497103,2602403.2010526317,2619597.9672100293,2605393.843565496,2631707.2782862177,2617486.7334262137,2623698.874046309,2740005.27,2693447.65,2633278.9402320012,2487240.264052632,2717566.1380526316
2026-07-12,2437498.14,2423676.8074237434,2437795.6723076925,2427030.0443348493,2402336.1604249286,2423208.3995694974,2491946.3849594854,2481472.208198988,2740005.27,2454842.48,2634902.8534144275,2322632.7353076926,2552958.6093076924
2026-07-13,2520849.96,2665739.929383436,2699565.914285715,2680972.6187088504,2638116.786523881,2650220.2290962623,2592774.1328356145,2615445.736476943,2740005.27,2497857.6,2638218.6746442406,2584402.9772857153,2814728.851285715
2026-07-14,2748385.99,2703799.2605487728,2751670.125384615,2717415.040522888,2704970.3735256633,2722639.7487605847,2709817.8265048685,2716605.751373748,2740005.27,2740005.27,2638807.171870033,2636507.188384615,2866833.0623846147
2026-07-15,2789573.25,2722262.204738474,2752025.2663636366,2730403.2001801254,2724759.4073244864,2742289.6197130512,2744396.126666837,2731231.3571265857,2740005.27,2788523.73,2636699.299432903,2636862.3293636367,2867188.2033636365
2026-07-16,2766541.57,2728515.717226657,2752025.2663636366,2733080.4498056453,2732470.234532764,2727343.036713348,2742859.843447987,2731971.6304950286,2740005.27,2789830.6,2636054.4450367973,2636862.3293636367,2867188.2033636365
