periodo,fuente,archivo,codificacion,campos_leidos,campos_relevantes_ausentes
2025-01,TC1,Formato_TC1_01_2025.csv,utf-8-sig,autogenerador|codigo_dane|condiciones_especiales|conexion_de_red|estrato_sector|exportar_energia|grupo_calidad|id_mercado|niu|nivel_de_tension|ubicacion,
2025-01,TC2,formato_tc2_20251.csv,cp1252,ano_de_reporte|cec_kwh|conpu|consumo_promedio_semestral_kwh|consumo_recuperado_kwh|consumo_usuario_kwh|dias_facturados|energia_activa_exportada_kwh|fecha_de_lectura_actual|fecha_de_lectura_anterior|hc|id_factura|id_mercado|mes_de_reporte|niu|refacturacion_por_consumo_usuario_kwh|tarifa_aplicada_kwh|thc|tipo_de_lectura|tipo_de_tarifa|tipo_factura|tipo_medidor|tvc|valor_cartera_consumo|valor_consumo_recuperado|valor_de_la_contribucion|valor_del_subsidio_usuario|valor_facturacion_por_consumo_usuario|valor_refacturacion_por_consumo_usuario|valor_total_facturado|vc|vcd|vcf,
2025-02,TC1,Formato_TC1_02_2025.csv,utf-8-sig,autogenerador|codigo_dane|condiciones_especiales|conexion_de_red|estrato_sector|exportar_energia|grupo_calidad|id_mercado|niu|nivel_de_tension|ubicacion,
2025-02,TC2,formato_tc2_20252.csv,cp1252,ano_de_reporte|cec_kwh|conpu|consumo_promedio_semestral_kwh|consumo_recuperado_kwh|consumo_usuario_kwh|dias_facturados|energia_activa_exportada_kwh|fecha_de_lectura_actual|fecha_de_lectura_anterior|hc|id_factura|id_mercado|mes_de_reporte|niu|refacturacion_por_consumo_usuario_kwh|tarifa_aplicada_kwh|thc|tipo_de_lectura|tipo_de_tarifa|tipo_factura|tipo_medidor|tvc|valor_cartera_consumo|valor_consumo_recuperado|valor_de_la_contribucion|valor_del_subsidio_usuario|valor_facturacion_por_consumo_usuario|valor_refacturacion_por_consumo_usuario|valor_total_facturado|vc|vcd|vcf,
2025-03,TC1,Formato_TC1_03_2025.csv,utf-8-sig,autogenerador|codigo_dane|condiciones_especiales|conexion_de_red|estrato_sector|exportar_energia|grupo_calidad|id_mercado|niu|nivel_de_tension|ubicacion,
2025-03,TC2,formato_tc2_20253.csv,cp1252,ano_de_reporte|cec_kwh|conpu|consumo_promedio_semestral_kwh|consumo_recuperado_kwh|consumo_usuario_kwh|dias_facturados|energia_activa_exportada_kwh|fecha_de_lectura_actual|fecha_de_lectura_anterior|hc|id_factura|id_mercado|mes_de_reporte|niu|refacturacion_por_consumo_usuario_kwh|tarifa_aplicada_kwh|thc|tipo_de_lectura|tipo_de_tarifa|tipo_factura|tipo_medidor|tvc|valor_cartera_consumo|valor_consumo_recuperado|valor_de_la_contribucion|valor_del_subsidio_usuario|valor_facturacion_por_consumo_usuario|valor_refacturacion_por_consumo_usuario|valor_total_facturado|vc|vcd|vcf,
2025-04,TC1,Formato_TC1_04_2025.csv,utf-8-sig,autogenerador|codigo_dane|condiciones_especiales|conexion_de_red|estrato_sector|exportar_energia|grupo_calidad|id_mercado|niu|nivel_de_tension|ubicacion,
2025-04,TC2,formato_tc2_20254.csv,cp1252,ano_de_reporte|cec_kwh|conpu|consumo_promedio_semestral_kwh|consumo_recuperado_kwh|consumo_usuario_kwh|dias_facturados|energia_activa_exportada_kwh|fecha_de_lectura_actual|fecha_de_lectura_anterior|hc|id_factura|id_mercado|mes_de_reporte|niu|refacturacion_por_consumo_usuario_kwh|tarifa_aplicada_kwh|thc|tipo_de_lectura|tipo_de_tarifa|tipo_factura|tipo_medidor|tvc|valor_cartera_consumo|valor_consumo_recuperado|valor_de_la_contribucion|valor_del_subsidio_usuario|valor_facturacion_por_consumo_usuario|valor_refacturacion_por_consumo_usuario|valor_total_facturado|vc|vcd|vcf,
2025-05,TC1,Formato_TC1_05_2025.csv,utf-8-sig,autogenerador|codigo_dane|condiciones_especiales|conexion_de_red|estrato_sector|exportar_energia|grupo_calidad|id_mercado|niu|nivel_de_tension|ubicacion,
2025-05,TC2,formato_tc2_20255.csv,cp1252,ano_de_reporte|cec_kwh|conpu|consumo_promedio_semestral_kwh|consumo_recuperado_kwh|consumo_usuario_kwh|dias_facturados|energia_activa_exportada_kwh|fecha_de_lectura_actual|fecha_de_lectura_anterior|hc|id_factura|id_mercado|mes_de_reporte|niu|refacturacion_por_consumo_usuario_kwh|tarifa_aplicada_kwh|thc|tipo_de_lectura|tipo_de_tarifa|tipo_factura|tipo_medidor|tvc|valor_cartera_consumo|valor_consumo_recuperado|valor_de_la_contribucion|valor_del_subsidio_usuario|valor_facturacion_por_consumo_usuario|valor_refacturacion_por_consumo_usuario|valor_total_facturado|vc|vcd|vcf,
2025-06,TC1,Formato_TC1_06_2025.csv,utf-8-sig,autogenerador|codigo_dane|condiciones_especiales|conexion_de_red|estrato_sector|exportar_energia|grupo_calidad|id_mercado|niu|nivel_de_tension|ubicacion,
2025-06,TC2,formato_tc2_20256.csv,cp1252,ano_de_reporte|cec_kwh|conpu|consumo_promedio_semestral_kwh|consumo_recuperado_kwh|consumo_usuario_kwh|dias_facturados|energia_activa_exportada_kwh|fecha_de_lectura_actual|fecha_de_lectura_anterior|hc|id_factura|id_mercado|mes_de_reporte|niu|refacturacion_por_consumo_usuario_kwh|tarifa_aplicada_kwh|thc|tipo_de_lectura|tipo_de_tarifa|tipo_factura|tipo_medidor|tvc|valor_cartera_consumo|valor_consumo_recuperado|valor_de_la_contribucion|valor_del_subsidio_usuario|valor_facturacion_por_consumo_usuario|valor_refacturacion_por_consumo_usuario|valor_total_facturado|vc|vcd|vcf,
2025-07,TC1,Formato_TC1_07_2025.csv,utf-8-sig,autogenerador|codigo_dane|condiciones_especiales|conexion_de_red|estrato_sector|exportar_energia|grupo_calidad|id_mercado|niu|nivel_de_tension|ubicacion,
2025-07,TC2,formato_tc2_20257.csv,cp1252,ano_de_reporte|cec_kwh|conpu|consumo_promedio_semestral_kwh|consumo_recuperado_kwh|consumo_usuario_kwh|dias_facturados|energia_activa_exportada_kwh|fecha_de_lectura_actual|fecha_de_lectura_anterior|hc|id_factura|id_mercado|mes_de_reporte|niu|refacturacion_por_consumo_usuario_kwh|tarifa_aplicada_kwh|thc|tipo_de_lectura|tipo_de_tarifa|tipo_factura|tipo_medidor|tvc|valor_cartera_consumo|valor_consumo_recuperado|valor_de_la_contribucion|valor_del_subsidio_usuario|valor_facturacion_por_consumo_usuario|valor_refacturacion_por_consumo_usuario|valor_total_facturado|vc|vcd|vcf,
2025-08,TC1,Formato_TC1_08_2025.csv,utf-8-sig,autogenerador|codigo_dane|condiciones_especiales|conexion_de_red|estrato_sector|exportar_energia|grupo_calidad|id_mercado|niu|nivel_de_tension|ubicacion,
2025-08,TC2,formato_tc2_20258.csv,cp1252,ano_de_reporte|cec_kwh|conpu|consumo_promedio_semestral_kwh|consumo_recuperado_kwh|consumo_usuario_kwh|dias_facturados|energia_activa_exportada_kwh|fecha_de_lectura_actual|fecha_de_lectura_anterior|hc|id_factura|id_mercado|mes_de_reporte|niu|refacturacion_por_consumo_usuario_kwh|tarifa_aplicada_kwh|thc|tipo_de_lectura|tipo_de_tarifa|tipo_factura|tipo_medidor|tvc|valor_cartera_consumo|valor_consumo_recuperado|valor_de_la_contribucion|valor_del_subsidio_usuario|valor_facturacion_por_consumo_usuario|valor_refacturacion_por_consumo_usuario|valor_total_facturado|vc|vcd|vcf,
2025-09,TC1,formato_tc1_09_2025.csv,utf-8-sig,autogenerador|codigo_dane|condiciones_especiales|conexion_de_red|estrato_sector|exportar_energia|grupo_calidad|id_mercado|niu|nivel_de_tension|ubicacion,
