periodo,demanda_real_total_kwh,demanda_real_regulada_kwh,demanda_real_no_regulada_kwh,consumo_facturado_calendarizado_kwh,cobertura_calendarizacion_completa,proyectada_subasta_regulada_kwh,proyectada_contratos_regulada_kwh,proyectada_contratos_no_regulada_kwh,proyectada_bolsa_kwh,proyectada_total_kwh,error_proyeccion_kwh,error_absoluto_proyeccion_pct,sesgo_proyeccion_pct
2025-01-01,82599992.880000,74878341.020000,7721651.860000,68652201.607105,1,4848370.860000,38899371.072386,6034931.369863,37711350.346396,87494023.648645,4894030.768645,0.059250,0.059250
2025-02-01,75126032.520000,68092701.580000,7033330.940000,65099931.091936,1,4468129.850000,35013780.509009,5690905.753425,34982805.561137,80155621.673570,5029589.153570,0.066949,0.066949
2025-03-01,82964952.130000,75336890.300000,7628061.830000,71251661.881562,1,4848370.860000,42064436.105679,6034931.369863,37961455.298458,90909193.633999,7944241.503999,0.095754,0.095754
2025-04-01,79866745.910000,72476458.110000,7390287.800000,68384630.998309,1,4691971.800000,40855550.583167,5840256.164384,31940309.989458,83328088.537009,3461342.627009,0.043339,0.043339
2025-05-01,82357376.690000,74611270.310000,7746106.380000,70143561.680889,1,4848370.860000,41898296.104600,6034931.369863,33225624.793644,86007223.128107,3649846.438107,0.044317,0.044317
2025-06-01,78831968.940000,71310731.760000,7521237.180000,67996725.674726,1,4696825.520000,40461665.983888,5960256.164384,30502268.951961,81621016.620233,2789047.680233,0.035380,0.035380
2025-07-01,82792865.120000,74989708.760000,7803156.360000,78061107.665095,1,4843517.140000,41924693.783062,5914931.369863,31375808.267646,84058950.560570,1266085.440570,0.015292,0.015292
2025-08-01,81394273.320000,73589065.080000,7805208.240000,63801325.152685,1,4843517.140000,42158083.422742,6034931.369863,30623490.297520,83660022.230125,2265748.910125,0.027837,0.027837
2025-09-01,79897652.020000,72194246.180000,7703405.840000,70530076.785911,1,4696825.520000,41142558.168491,5840256.164384,31277042.404085,82956682.256960,3059030.236960,0.038287,0.038287
2025-10-01,83221834.030000,74987426.110000,8234407.920000,72062234.395866,1,4843517.140000,42783023.722157,6034931.369863,32820426.283350,86481898.515370,3260064.485370,0.039173,0.039173
2025-11-01,79610946.530000,71862831.760000,7748114.770000,69220401.709175,1,4696825.520000,41976411.094541,5960256.164384,29129407.602500,81762900.381426,2151953.851426,0.027031,0.027031
2025-12-01,83983474.830000,75995220.490000,7988254.340000,70287062.722014,1,4833809.700000,44450344.174770,6034931.369863,32938368.129783,88257453.374416,4273978.544416,0.050891,0.050891
